340.0f,5500.0005f,330.0f,3940.0005f,
330.0f,3940.0005f,2880.0002f,3950.0005f,
2880.0002f,3950.0005f,2890.0002f,2210.0005f,
2890.0002f,2210.0005f,7910.001f,2190.0f,
7910.001f,2190.0f,7910.001f,3670.0005f,
7910.001f,3670.0005f,4500.0005f,3640.0002f,
4500.0005f,3640.0002f,4470.0005f,5410.0005f,
4490.0005f,5360.0005f,7980.0005f,5380.0005f,
7980.0005f,5380.0005f,7990.001f,6860.0005f,
7990.001f,6860.0005f,2730.0002f,6900.0005f,
2730.0002f,6900.0005f,2720.0005f,5540.001f,
2720.0005f,5540.001f,340.0f,5480.0005f,
